Key,Value
à,0.07076458683497411
á,0.014854103065436376
â,0.038202186167232643
ã,0.016865759956093712
ä,0.02550838106998708
å,0.06867003395876925
¸,4.430647503401594e-05
æ,0.008704793103054002
ç,0.014543957740198264
è,0.054741364525091755
é,0.00970168879131936
ê,0.02889353868669891
ë,0.042074715009318656
ì,0.025265410077865057
í,0.05470634811740358
î,0.09488660400873553
ï,0.021189928995300655
ð,0.03702091837318058
ñ,0.044129249133879875
ò,0.04831406716289919
ó,0.023265187116248757
ô,0.0015993208246149625
õ,0.0072119507426336915
ö,0.0029570998982380316
÷,0.011886998479287437
ø,0.008140957477217896
ù,0.00242542219782984
ú,0.00037446117609394116
û,0.015903166054951463
ü,0.016758566871333997
ý,0.0026012188568357744
þ,0.005496146765913171
ÿ,0.019013194754113356
 ,0.1632843675322151
