о,0.11477364077559733
е,0.08601423576811393
а,0.07964767728118091
н,0.06505117733552958
и,0.06486603351461502
т,0.06477644779481764
с,0.05295113278156493
в,0.04626564913215327
л,0.0459921140677053
р,0.041730222757878466
к,0.03300815707840662
д,0.03202151968437159
м,0.03147325507921169
у,0.029679151730736382
п,0.02745742587976163
ь,0.022999640462644546
я,0.021344096360789166
ч,0.018141705497099214
б,0.017405908118496825
г,0.0168516711320171
ы,0.016512439873051062
з,0.01540993828141144
ж,0.011410831749656887
й,0.009972682327843123
х,0.008520199190861779
ш,0.008221580124870549
ю,0.005645094823498215
э,0.0035392331701280598
щ,0.002992163041232126
ц,0.0027496843596472474
ф,0.0011789480725333766
ё,0.0011538640709901134
ъ,0.0002424786815848789
